,SS3_MAF_Leo171129_p2_S18,SS3_MAF_Leo171129_p2_S2,SS3_MAF_Leo171129_p2_S45,SS3_MAF_Leo171129_p2_S67,SS3_MAF_Leo171129_p2_S78,SS3_MAF_Leo171129_p2_S80,SS3_MAF_Leo171129_p2_S86,SS3_MAF_Leo171129_p2_S93,SS3_MAF_leo180223_p6_A02_S2,SS3_MAF_leo180223_p6_B03_S15,SS3_MAF_leo180223_p6_D01_S37,SS3_MAF_leo180223_p6_C06_S30,SS3_MAF_leo180223_p6_D04_S40,SS3_MAF_leo180223_p6_E05_S53,SS3_MAF_leo180223_p6_G11_S83,SS3_MAF_leo180223_p4_S101,SS3_MAF_leo180223_p6_H10_S94,SS3_MAF_leo180223_p4_S111,SS3_MAF_leo180223_p4_S123,SS3_MAF_leo180223_p4_S137,SS3_MAF_leo180223_p4_S146,SS3_MAF_leo180223_p4_S154,SS3_MAF_leo180223_p4_S161,SS3_MAF_leo180223_p4_S166,SS3_MAF_leo180223_p4_S171,SS3_MAF_leo180223_p4_S177,SS3_MAF_leo180223_p4_S178,SS3_MAF_leo180223_p4_S186
0610005C13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610007P14Rik,4.0,0.0,3.0,0.0,3.0,3.0,2.0,7.0,6.0,12.0,7.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,4.0,4.0,2.0,3.0,0.0,5.0,4.0,0.0,3.0
0610009B22Rik,26.0,3.0,0.0,12.0,10.0,3.0,9.0,5.0,8.0,0.0,11.0,6.0,2.0,0.0,9.0,5.0,3.0,1.0,1.0,5.0,6.0,11.0,0.0,3.0,5.0,2.0,5.0,5.0
0610009L18Rik,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0610009O20Rik,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,2.0,0.0
0610010F05Rik,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0
0610012G03Rik,,,,,,,,,,,,24.0,,,,,,,,,,,15.0,,,,,
0610031J06Rik,6.0,13.0,13.0,21.0,4.0,12.0,26.0,28.0,13.0,15.0,23.0,14.0,15.0,9.0,11.0,16.0,4.0,5.0,9.0,3.0,10.0,8.0,13.0,5.0,8.0,3.0,19.0,9.0
0610037L13Rik,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0610038B21Rik,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610040B10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1110001J03Rik,,2.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0
1110002L01Rik,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
1110004E09Rik,0.0,0.0,0.0,0.0,,,2.0,0.0,3.0,2.0,4.0,3.0,5.0,0.0,0.0,,0.0,,0.0,4.0,,2.0,0.0,3.0,,0.0,4.0,4.0
1110006O24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1110007C09Rik,,0.0,4.0,,10.0,0.0,,4.0,6.0,10.0,6.0,7.0,4.0,0.0,1.0,5.0,3.0,4.0,2.0,1.0,3.0,9.0,0.0,0.0,3.0,3.0,5.0,2.0
1110008L16Rik,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1110012L19Rik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,,0.0,1.0
1110020A21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1110032A03Rik,,0.0,0.0,,0.0,1.0,0.0,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1110034G24Rik,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110037F02Rik,0.0,10.0,7.0,3.0,8.0,1.0,13.0,5.0,4.0,6.0,5.0,5.0,2.0,1.0,4.0,5.0,3.0,2.0,3.0,3.0,1.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0
