Chromosome;Start;End;Name;Length;Strand;Half-life (h);k (cpm/h);stderror Half-life;stderror k;Rsquare
chr18;38262373;38262629;0610009O20Rik;256;+;3.951685478;0.175405453;1.186440176;0.07525845;0.765898923
chr7;116104957;116105210;1110004F10Rik;253;+;5.936154332;0.116767042;1.944205967;0.056869267;0.822636831
chr2;156873310;156873562;1110008F13Rik;252;+;5.290183745;0.131025162;1.118520012;0.035130891;0.92362958
chrX;70389160;70389418;1110012L19Rik;258;+;3.079123129;0.225111875;0.9054261;0.093767514;0.779368122
chr15;76950480;76950979;1110038F14Rik;499;+;3.212735916;0.215749815;0.71444641;0.061698887;0.894246706
chr10;83762511;83762762;1500009L16Rik;251;+;6.060218369;0.114376601;2.828554684;0.100109573;0.609734565
chr10;80174864;80175119;1600002K03Rik;255;+;6.121674458;0.113228363;2.434489184;0.074759798;0.741391049
chr17;14944679;14944990;1600012H06Rik;311;+;2.282191143;0.303720038;0.715117857;0.138599531;0.736307177
chr15;81981313;81981563;1700029P11Rik;250;+;5.559803611;0.124671163;1.950419413;0.067369125;0.768965964
chr17;56888588;56888905;1700061G19Rik;317;+;5.989867167;0.115719959;1.678127072;0.04503815;0.863572689
chr14;54690492;54690742;1700123O20Rik;250;+;1.392595005;0.497737805;0.238068611;0.102635806;0.907562714
chr19;8890509;8890759;1810009A15Rik;250;+;4.315322866;0.16062464;0.737714514;0.033121325;0.93279582
chr16;8857950;8858200;1810013L24Rik;250;+;2.372233995;0.292191741;0.859349369;0.165970877;0.722073008
chr3;122925493;122925748;1810037I17Rik;255;+;4.644478857;0.14924111;0.877324744;0.034756454;0.926860534
chrX;153741045;153741296;2210013O21Rik;251;+;7.738179065;0.089574973;2.564377601;0.044397539;0.838330441
chr7;27581371;27581621;2310022A10Rik;250;+;2.075923373;0.33389825;0.449684477;0.092328907;0.868305599
chr7;27581846;27582098;2310022A10Rik;252;+;2.716239811;0.255186298;0.810980568;0.108620981;0.812013081
chr11;59210484;59210738;2310033P09Rik;254;+;2.423487963;0.286012223;0.587223179;0.091464482;0.839686421
chr1;105754872;105755131;2310035C23Rik;259;+;2.028733;0.341665059;0.677590468;0.171343128;0.716866369
chr8;85030030;85030286;2310036O22Rik;256;+;4.388556906;0.157944216;0.955009991;0.043930754;0.905447682
chr17;46773138;46773407;2310039H08Rik;269;+;6.307200304;0.109897759;2.416252077;0.068245752;0.738302572
chr7;44252068;44252319;2410002F23Rik;251;+;1.727388732;0.401268787;0.158786186;0.040619557;0.980606217
chr11;97622643;97622893;2410003L11Rik;250;+;6.058960339;0.11440035;2.033327706;0.057783067;0.789651692
chr3;145944025;145944276;2410004B18Rik;251;+;2.799787844;0.247571323;0.520974974;0.056598971;0.919771153
chr11;62604556;62604806;2410006H16Rik;250;+;4.216505009;0.164389033;0.564533911;0.025411807;0.955524235
chr5;118261267;118261517;2410131K14Rik;250;+;1.861729423;0.372313598;0.561507648;0.160785596;0.736602093
chr4;147947064;147947315;2510039O18Rik;251;+;3.033287206;0.228513535;0.600172116;0.056367022;0.918360157
chr7;41628282;41628532;2610021A01Rik;250;+;2.192125938;0.316198613;0.553933602;0.106918481;0.839982631
