CHROM,EPU start,EPU end,promoters inside the EPU
chr1,3085400,3661579,"3661579,"
chr1,4350473,4447050,"4350473,"
chr1,4461450,4509250,"4486494,"
chr1,4696400,4833900,"4775807,4797973,"
chr1,4847774,4897500,"4847774,4848408,"
chr1,4914150,5013900,"5009507,"
chr1,5060366,5150200,"5060366,5073253,"
chr1,5906900,5996500,"5907479,"
chr1,6486700,6857025,"6720131,"
chr1,6895900,7662150,"7079000,"
chr1,9432500,9535488,"9535488,"
chr1,9538126,9690290,"9538126,9591347,9621173,9690290,"
chr1,9695200,9782700,"9738463,"
chr1,9788210,9882900,"9788210,9838361,"
chr1,9887900,9943700,"9898718,9932624,9934199,"
chr1,9994450,10006500,"9999201,9999211,"
chr1,10027979,10047400,"10027979,10028298,"
chr1,10122500,10275525,"10222751,"
chr1,10339000,10710024,"10710024,"
chr1,10806400,11391500,"10983545,11254043,"
chr1,11404192,11448700,"11404192,"
chr1,12674000,12862575,"12708625,"
chr1,12865475,12981216,"12981216,"
chr1,13075100,13141100,"13117244,"
chr1,13364164,13374000,"13364164,"
chr1,13525050,13598250,"13579945,"
chr1,13620775,13688450,"13650590,13658851,"
chr1,13705900,13778550,"13777010,"
chr1,14152675,14446900,"14300280,"
chr1,15781950,15823000,"15795738,"
chr1,15865800,15882803,"15882803,"
chr1,16006700,16104625,"16094514,16095962,"
chr1,16509383,16531000,"16509383,"
chr1,16640300,16678536,"16646946,16655271,16678536,"
chr1,16969800,17145950,"17087879,17135453,"
chr1,17198000,17922200,"17591981,17717497,"
chr1,18044200,18297500,"18127132,18213645,18227524,18255161,18255219,"
chr1,19093102,19099900,"19093102,"
chr1,19198994,19255700,"19198994,19202134,"
chr1,20542250,20672849,"20608138,20669090,20672849,"
chr1,20691700,20744500,"20720985,"
chr1,20766400,20810294,"20774351,20810294,"
chr1,20865400,20912875,"20880702,"
chr1,20924850,20941706,"20941706,"
chr1,20971325,21165150,"21069290,21069306,"
chr1,21208711,21334175,"21208711,21230669,21288393,"
chr1,21511950,21952023,"21952023,"
chr1,22294900,22812563,"22812563,"
chr1,22981700,23353900,"23109092,23279107,23298539,"
chr1,23380400,23399400,"23390014,"
chr1,23768764,23782900,"23768764,"
chr1,23834275,23950650,"23929128,"
chr1,24068525,24179450,"24107180,"
chr1,24184448,24209700,"24184448,"
chr1,24558850,24594276,"24594276,"
chr1,24657850,24775100,"24685382,"
chr1,25802100,26452600,"25886552,"
chr1,26739600,27303700,"26744305,"
chr1,28385500,30170650,"28837097,"
chr1,30897225,31002850,"30920101,"
chr1,31233279,31290825,"31233279,31279456,31279501,31279683,"
