gene	celltype	method	kon	koff	ksyn	bfpval	bspval	bf-CI	bs-CI
Hdac6	fib	scRNA	0.50	231.6	438.7	1.18441e-05	0.057	0.5,0.4,0.7	1.8,1.3,2.5
Hdac6	fib	fish	0.90	182.3	1097.6	1.2e-06	1	0.90,0.76,1.1	6.41,5.23,7.86
Hdac6	es	scRNA	1.94	551.8	507.1	1.18441e-05	0.057	1.9,1.0,2.8	0.98,0.65,2.6
Hdac6	es	fish	1.84	670.3	4467.2	1.2e-06	1	1.89,1.68,2.27	6.51,5.6,7.4
Msl3	fib	scRNA	0.76	102.1	277.8	0.0033	0.11	0.8,0.6,0.94	2.73,2.1,3.5
Msl3	fib	fish	2.57	387.2	2302.0	1e-12	0.35	2.57,2.1,3.1	5.9,4.9,7.3
Msl3	es	scRNA	0.23	2.9	5.1	0.0033	0.11	0.23,0.11,0.44	1.77,0.81,4.33
Msl3	es	fish	0.18	1.56	11.4	1e-12	0.35	0.18,0.14,0.23	7.3,5.4,9.9
Mpp1	fib	scRNA	1.5	367.9	2242.2	0.85	3.9e-06	1.25,1.08,1.46	7.7,6.4,9.2
Mpp1	fib	fish	1.5	632.9	32311.6	0.78	2.2e-16	1.6,1.4,1.8	44.9,40.6,49.1
Mpp1	es	scRNA	1.3	41.7	52.9	0.85	3.9e-06	1.27,0.87,1.7	2.46,1.77,4.4
Mpp1	es	fish	1.4	997.2	13121.8	0.78	2.2e-16	1.5,1.2,1.6	12.9,10.9,15.1
Igbp1	fib	scRNA	0.7	23.5	82	0.0037	1	0.7,0.52,0.99	4.1,2.6,6.2
Igbp1	fib	fish	4.2	295	2329	0.015	0.19	4.2,3.4,5.2	8.0,6.5,9.9
Igbp1	es	scRNA	0.7	0.67	7.24	0.0037	1	0.7,0.37,1.2	10.8,4.6,27.6
Igbp1	es	fish	2.7	8.53	92.5	0.015	0.19	2.7,2.3,3.1	10.8,8.3,13.8
