Gene,TSS
Xkr4,3661579
Rp1,4350473
Sox17,4486494
Mrpl15,4775807
Lypla1,4797973
Tcea1,4847774
Tcea1,4848408
Rgs20,5009507
Rgs20,5060366
Atp6v1h,5073253
Oprk1,5578573
Npbwr1,5907479
Rb1cc1,6204742
St18,6720131
Pcmtd1,7079000
Sntg1,9289811
Rrs1,9535488
Adhfe1,9538126
3110035E14Rik,9591347
2610203C22Rik,9621173
Mybl1,9690290
Vcpip1,9738463
Sgk3,9788210
Sgk3,9838361
6030422M02Rik,9898718
Snord87,9932624
Snhg6,9934199
Lrrc67,9999201
Lrrc67,9999211
Cops5,10027979
Cspp1,10028298
Arfgef1,10222751
Cpa6,10710024
Prex2,10983545
Prex2,11254043
A830018L16Rik,11404192
Sulf1,12708625
Slco5a1,12981216
Prdm14,13117244
Ncoa2,13364164
Tram1,13579945
Lactb2,13650590
Xkr9,13658851
Gm5523,13777010
Eya1,14300280
Msc,14746047
Trpa1,14908943
Kcnb2,15302532
Terf1,15795738
Gm106,15882803
Rpl7,16094514
Rdh10,16095962
Stau2,16509383
Ube2w,16609367
Tceb1,16646946
Tmem70,16655271
Ly96,16678536
Jph1,17087879
Gdap1,17135453
Pi15,17591981
Crispld1,17717497
Crisp4,18127132
Defb44,18213645
Defb18,18227524
Gm15386,18255161
Defb41,18255219
Tcfap2d,19093102
Tcfap2b,19198994
Tcfap2b,19202134
Pkhd1,20608138
Mir206,20669090
Mir133b,20672849
Il17a,20720985
Il17f,20774351
Mcm3,20810294
Paqr8,20880702
Efhc1,20941706
Tram2,21069290
Tram2,21069306
Tmem14a,21208711
Gsta3,21230669
Gm4956,21288393
Khdc1a,21339757
Khdc1c,21358411
Khdc1b,21373636
Kcnq5,21952023
Rims1,22812563
4933415F23Rik,23109092
Mir30a,23279107
Mir30c-2,23298539
Ogfrl1,23390014
B3gat2,23768764
Smap1,23929128
1110058L19Rik,24012479
Fam135a,24107180
Col9a1,24184448
Col19a1,24594276
Lmbrd1,24685382
Bai3,25886552
4931408C20Rik,26744305
Gm597,28837097
Phf3,30920101
Gm13363,31006555
Ptp4a1,31006600
Lgsn,31233279
4931428L18Rik,31279456
4931428L18Rik,31279501
4930521A18Rik,31279683
Gm4850,31321691
Khdrbs2,32229650
Gm5415,32604138
Prim2,33726603
1700001G17Rik,33726668
Rab23,33776740
Rab23,33777263
Bag2,33814595
Zfp451,33871272
Gm15455,33895759
Bend6,33964466
Dst,34068669
Ccdc115,34496517
Imp4,34496673
Ptpn18,34516590
Prss39,34555274
Cfc1,34592492
Prss40,34617788
Fam123c,34636537
AA619741,34693055
Arhgef4,34858566
Fam168b,34899895
Plekhb2,34906803
Hs6st1,36125244
Uggt1,36301147
Neurl3,36330270
Arid5a,36364577
4632411B12Rik,36426026
Lman2l,36502084
Cnnm4,36528441
Cnnm3,36568720
Ankrd23,36592574
Ankrd39,36604046
Sema4c,36615226
Fam178b,36650177
Fam178b,36740028
Cox5b,36748331
Actr1b,36766770
Zap70,36818705
Tmem131,36996372
Cnga3,37276105
Inpp4a,37356737
Inpp4a,37426065
6330578E17Rik,37486895
Unc50,37487016
4930594C11Rik,37545450
Mgat4a,37593104
2010300C02Rik,37776656
Tsga10,37921924
Lipt1,37929050
Mitd1,37947256
Mrpl30,37947397
Lyg2,37973338
Lyg1,38014604
Txndc9,38054053
Eif5b,38054854
Rev1,38186507
Aff3,38721800
Lonrf2,38878060
Chst10,38955005
Nms,38995993
Pdcl3,39044658
Npas2,39251116
Rpl31,39424695
Tbc1d8,39535592
D1Bwg0212e,39592646
Snord89,39605685
Rnf149,39634192
Creg2,39708027
Rfx8,39777834
Gm3646,39862177
Map4k4,39957757
Il1r2,40141612
Il1r1,40281924
Il1r1,40323430
Il1rl2,40381471
Il1rl1,40496493
Il1rl1,40497472
Il18r1,40522396
Il18r1,40522465
Il18r1,40522850
Il18rap,40572206
Slc9a4,40637071
Slc9a2,40738556
Mfsd9,40847502
Tmem182,40862445
2610017I09Rik,42751670
Pou3f3,42753990
2900092D14Rik,42757180
Mrps9,42908077
Gpr45,43009716
Tgfbrap1,43155467
AI597479,43155554
Fhl2,43220806
Nck2,43502595
1500015O10Rik,43787446
Uxs1,43884553
Tpp2,43990851
A530098C11Rik,44076851
1700029F09Rik,44159233
Kdelc1,44175618
Bivm,44176812
Ercc5,44204588
4832428D23Rik,44275776
Gulp1,44608515
Col3a1,45368382
Col5a2,45560127
Wdr75,45852345
Slc40a1,45982439
Gm3852,46069108
Dnahc7b,46123582
Slc39a10,46910354
Tmeff2,50984366
Sdpr,51345969
Obfc2a,51535243
Myo1b,51972818
Stat4,52065087
Stat1,52176281
Gls,52290076
Nab1,52557292
Tmem194b,52687548
Mfsd6,52784162
Inpp1,52874532
Hibch,52901889
1700019D03Rik,53009684
Mstn,53118506
1700019A02Rik,53244461
Pms1,53353840
Ormdl1,53353938
Osgepl1,53370506
Asnsd1,53409543
Stk17b,53842059
Hecw2,54251878
Ccdc150,54307526
Gtf3c3,54495815
Pgap1,54614526
Ankrd44,54983231
Sf3b1,55084322
Coq10b,55109613
Hspd1,55144776
Hspe1,55144991
Mobkl3,55188088
Gm10561,55283094
Rftn2,55283626
Mars2,55294020
Boll,55419551
Boll,55420313
Plcl1,55462789
Hsfy2,56694295
Satb2,57028178
9130024F11Rik,57028312
1700066M21Rik,57434463
9430016H08Rik,57463391
1110034B05Rik,57463518
Spats2l,57831704
Spats2l,57902414
Kctd18,58026368
Kctd18,58026928
Sgol2,58042183
Sgol2,58052817
Aox1,58086812
Aox3,58169979
Aox4,58267240
Aox3l1,58335169
Bzw1,58449979
Clk1,58480932
Ppil3,58502330
Nif3l1,58504476
Orc2l,58558260
Orc2l,58561763
Fam126b,58643177
Ndufb3,58643442
Als2cr12,58752833
Cflar,58770129
Casp8,58852217
Casp8,58859345
Trak2,59030326
Stradb,59030414
Als2cr11,59151744
Als2cr4,59176650
Als2cr4,59176940
Mpp4,59218480
Mpp4,59220233
Als2,59293937
Als2,59294075
Cdk15,59313750
Fzd7,59538990
Gm973,59573107
Sumo1,59727678
Nop58,59741849
Snord70,59748801
Snord11,59761651
Bmpr2,59821480
Fam117b,59969849
Ica1l,60099931
Wdr12,60154722
Carf,60155124
Nbeal1,60237442
Cyp20a1,60400215
Abi2,60466641
Raph1,60623609
Cd28,60803231
Ctla4,60965868
Icos,61034757
Pard3b,61685397
Nrp2,62749890
Ino80d,63160841
Ndufs1,63223396
Eef1b2,63223404
Snora41,63225596
Gpr1,63260783
Zdbf2,63319842
Adam23,63492477
Dytn,63733501
Mdh1b,63776892
Fastkd2,63777198
Gm13749,64011300
Klf7,64167963
Creb1,64579377
Fam119a,64663742
Ccnyl1,64737918
Fzd5,64784324
Plekhm3,65003398
4921521F21Rik,65079322
Cryge,65097737
Crygd,65110014
Crygc,65120079
Crygc,65120095
Crygb,65128841
Cryga,65149937
